NPlayers,MaxNActions,Solver,Runtime,MaxViolation,NViolations,Welfare
2,2,Linear Programming,0.048097999999299645,0,0,-7.637136185941223
2,2,Linear Programming-Maximize Welfare,0.0415659999998752,0,0,-7.637136185941223
2,2,Linear Programming,0.04051630001049489,0,0,7.028020459295641
2,2,Linear Programming-Maximize Welfare,0.04138450001482852,0,0,7.028020459295641
2,2,Linear Programming,0.04023300000699237,0,0,4.17339298280694
2,2,Linear Programming-Maximize Welfare,0.04250969999702647,0,0,4.17339298280694
2,2,Linear Programming,0.03963549999753013,0,0,8.457997725826623
2,2,Linear Programming-Maximize Welfare,0.04169820001698099,0,0,8.457997725826623
2,2,Linear Programming,0.039322600001469254,0,0,11.657201392454741
2,2,Linear Programming-Maximize Welfare,0.0413676000025589,0,0,11.657201392454741
2,2,Linear Programming,0.03984620000119321,0,0,10.79835902876474
2,2,Linear Programming-Maximize Welfare,0.04265700001269579,0,0,10.79835902876474
2,2,Linear Programming,0.03960970000480302,0,0,1.4407355312779027
2,2,Linear Programming-Maximize Welfare,0.046443100000033155,0,0,1.4407355312779027
2,2,Linear Programming,0.04210009999223985,0,0,18.99408482581826
2,2,Linear Programming-Maximize Welfare,0.03835180000169203,0,0,18.99408482581826
2,2,Linear Programming,0.041275199997471645,0,0,1.606427127230095
2,2,Linear Programming-Maximize Welfare,0.03945830001612194,0,0,1.606427127230095
2,2,Linear Programming,0.04351960000349209,0,0,8.759459025300218
2,2,Linear Programming-Maximize Welfare,0.0397260999889113,0,0,8.759459025300218
4,2,Linear Programming,0.04959829998551868,0,0,9.79525282669815
4,2,Linear Programming-Maximize Welfare,0.04903679998824373,0,0,22.0625782944895
4,2,Linear Programming,0.049432799976784736,0,0,-0.8853281897812568
4,2,Linear Programming-Maximize Welfare,0.04644499998539686,0,0,20.262829195307233
4,2,Linear Programming,0.05363700000452809,0,0,8.887865773404084
4,2,Linear Programming-Maximize Welfare,0.053594600001815706,0,0,9.149790767764655
4,2,Linear Programming,0.05401729998993687,0,0,-0.275163643381413
4,2,Linear Programming-Maximize Welfare,0.063556899985997,0,0,5.280665568706266
4,2,Linear Programming,0.06377939999219961,0,0,13.05687971283553
4,2,Linear Programming-Maximize Welfare,0.05503369998768903,0,0,25.86351575427277
4,2,Linear Programming,0.06243279998307116,0,0,2.3738552178637082
4,2,Linear Programming-Maximize Welfare,0.050247899984242395,0,0,16.248791049920985
4,2,Linear Programming,0.0570892000105232,0,0,6.153287062560811
4,2,Linear Programming-Maximize Welfare,0.05501369998091832,0,0,12.794314669629147
4,2,Linear Programming,0.06105410002055578,0,0,0.4495126247013701
4,2,Linear Programming-Maximize Welfare,0.06226639999658801,0,0,24.706220865879914
4,2,Linear Programming,0.06445820000953972,0,0,1.1248631792991475
4,2,Linear Programming-Maximize Welfare,0.06868309999117628,0,0,12.057838328894807
4,2,Linear Programming,0.1250020999868866,0,0,14.609470474221784
4,2,Linear Programming-Maximize Welfare,0.05012659999192692,0,0,19.67683981872165
7,2,Linear Programming,0.08452910001506098,0,0,13.160692177301197
7,2,Linear Programming-Maximize Welfare,0.10125830001197755,0,0,36.90858547763529
7,2,Linear Programming,0.12263859997619875,0,0,5.392868679389572
7,2,Linear Programming-Maximize Welfare,0.10327849999885075,0,0,29.784659706666908
7,2,Linear Programming,0.0766087000083644,0,0,12.13838811748386
7,2,Linear Programming-Maximize Welfare,0.07799879999947734,0,0,37.03211943924973
7,2,Linear Programming,0.07795160001842305,0,0,6.3436248798713235
7,2,Linear Programming-Maximize Welfare,0.07895730002201162,0,0,33.97583608172027
7,2,Linear Programming,0.07481930000358261,0,0,1.4685381184545394
7,2,Linear Programming-Maximize Welfare,0.08403549998183735,0,0,37.996689164808245
7,2,Linear Programming,0.07622330001322553,0,0,-0.20480555825168212
7,2,Linear Programming-Maximize Welfare,0.08748319998267107,0,0,27.2903698066915
7,2,Linear Programming,0.1758566000207793,0,0,1.6832891018610026
7,2,Linear Programming-Maximize Welfare,0.09258230001432821,0,0,33.021141714893176
7,2,Linear Programming,0.08479910000460222,0,0,-4.810316144865859
7,2,Linear Programming-Maximize Welfare,0.1404132000170648,0,0,29.855734481748122
7,2,Linear Programming,0.08714710001368076,0,0,-4.115658362891009
7,2,Linear Programming-Maximize Welfare,0.09409800000139512,0,0,44.074316463886205
7,2,Linear Programming,0.08726140001090243,0,0,9.97667844353302
7,2,Linear Programming-Maximize Welfare,0.10146199999144301,0,0,31.366840776398647
10,2,Linear Programming,0.4530596999975387,0,0,5.034115414825248
10,2,Linear Programming-Maximize Welfare,0.47881189998588525,0,0,53.5956388767148
10,2,Linear Programming,0.4048224999860395,0,0,7.271325265969512
10,2,Linear Programming-Maximize Welfare,0.39945200001238845,0,0,52.66144149042835
10,2,Linear Programming,0.3787986999959685,0,0,-6.676601035747469
10,2,Linear Programming-Maximize Welfare,0.38827739999396726,0,0,56.63268345122101
10,2,Linear Programming,0.35767529997974634,0,0,11.236463359881473
10,2,Linear Programming-Maximize Welfare,0.3846402999770362,0,0,58.51377659815164
10,2,Linear Programming,0.4493777999887243,0,0,6.178773790402675
10,2,Linear Programming-Maximize Welfare,0.4554760000028182,0,0,52.02119100829358
10,2,Linear Programming,0.40647200000239536,0,0,1.8883974669411028
10,2,Linear Programming-Maximize Welfare,0.39706019998993725,0,0,47.67287535402074
10,2,Linear Programming,0.42633369998657145,0,0,7.306811524464436
10,2,Linear Programming-Maximize Welfare,0.4582683999906294,0,0,50.64953845581772
10,2,Linear Programming,0.4479414999950677,0,0,12.126380523681414
